,Date,Invoice Type,Buyer,Saller,Products,Total_amount
0,23.09.2022,Purchase,/ Indusind Bank Ltd,Rashi Peripherals Limited,"286H8AA#AC3 HP/RAM/ RAM 8GB DDR4 3200 WW 84733030 1 3,800.00 3,800.00 3,800.00 |CGST 9.00 342.00","4,484.00"
1,20.10.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"2E2Y3A6#ACJ HP/CONSUMER MONITORS/ M22F 22 FHD IPS 85285200 4 8,900.00 35,600.00 35,600.00 |CGST 9.00 3,204.00","42,008.00"
2,21.10.2022,Purchase,/ Indusind Bank Ltd,Rashi Peripherals Limited,"2E2Y3A6#ACJ HP/CONSUMER MONITORS/ M22F 22 FHD IPS 85285200 25 8,800.00 220,000.00 |2,500.00 217,500.00 |CGST 9.00 19,575.00","256,650.00"
3,24.07.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"SRDE6AA#ACJ HP/MONITOR/ 19.5 P204V VGA HDMI TCO 85285200 24 5,300.00 127,200.00 127,200.00 |CGST 9.00 11,448.00","150,096.00"
4,18-Jan-23,Sales,Aavas Financiers Ltd,B M Infotrade Private Limited ,"4 |HP Color LaserJet Professional CP5225dn 84433100 18% 1 no. |1,24,650.00 | no. 1,24,650.00

0 |","1,47,087.00"
5,22-Mar-23,Sales,Aavas Financiers Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

08 Terms of Delivery

1 |HP Color LaserJet Pro MFP M178NW (4ZB96A) 84433100 18% 1 no.| 32,180.00 | no. 32,180.00

2 |HP W2090A Black Toner Cartridge 84439959 18% 1 no. 3,266.00 | no. 3,266.00

3 |HP W2091A Cyan Toner Cartridge 84439959 18% 1 no. 3,610.00 | no. 3,610.00

4 |HP W2092A Yellow Toner Cartridge 84439959 18% 1 no. 3,610.00 | no. 3,610.00

5 |HP W2093A Magenta Toner Cartridge 84439959 18% 1 no. 3,610.00 | no. 3,610.00

27 Delivery Note Mode

08 Terms of Delivery

8 |","54,605.68"
6,23-Jan-23,Sales,Aavas Financiers Ltd,B M Infotrade Private Limited ,"1 |HP CE740A Toner Cartridge 84439959 18% 1no.| 12,270.00 | no. 12,270.00

2 |HP CE741A Toner Cartridge 84439959 18% 1no.| 21,614.00 | no. 21,614.00

3 |HP CE742A Toner Cartridge 84439959 18% 1no.| 21,614.00 | no. 21,614.00

4 |HP CE743A Toner Cartridge 84439959 18% 1no.| 21,614.00 | no. 21,614.00

8 | __ 13,880.16 |","90,992.00"
7,10-Apr-23,Sales,ACC Limited,"B M Infotrade Private Limited
","1 |HP 3WX30A Toner Cartridge 84439959 18% 1 no. 9,422.00 | no. 9,422.00

6 |","11,118.00"
8,12-Apr-23,Sales,ACC Limited,B M Infotrade Private Limited ,"27 Delivery Note Mode

1 |HP F9K15A Ink Cartridge 84439959 18 % 1 no. 9,422.00 | no. 9,422.00

2 |HP F9K16A Ink Cartridge 84439959 18% 1 no. 9,422.00 no. 9,422.00

3 |HP F9K17A Ink Cartridge 84439959 18 % 1 no. 9,422.00 | no. 9,422.00","33,354.00"
9,24-Apr-23,Sales,ACC Limited,"B M Infotrade Private Limited
","1 |HP INK CARTRIDGE (72 MATTE BLACK) 3WX06A 84439959 18 % 3 no. 3,696.00 | no. 11,088.00

4 |","13,084.00"
