,Date,Invoice Type,Buyer,Saller,Products,Total_amount
0,31-May-23,Purchase, : ICICI BANK LTD,PBR NETWORKING SOLUTION,"41 |D-LINK DGS -F1010P-E, 

0 | QTY 5,550.00

CGST 499.50

0 | 9% 499.50 9% | 499.50 999,00","6,549.00"
1,06.06.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"21E3S02900 LENOVO/NOTEBOOK/ |5 1235U 8+8GB 512SSD 84713010 4 67,200.00 268,800.00 268,800.00 |CGST 9.00 24,192.00

4X40Y71789 LENOVO/NOTE BOOK CARRY CASE/ BASIC 42021290 4 800.00 3,200.00 3,200.00 |CGST 9.00 288.00

11SESOAU00WOM_=|LENOVO/DESKTOP? I5 12400 8GB 512SSD 84713010 1 46,500.00 46,500.00 46,500.00 |CGST 9.00 4,185.00

62F7KAR4WW LENOVO/MONITOR/ E20-30 19.5 WITH HDMI 85285200 1 6,000.00 6,000.00 6,000.00 |CGST 9.00 540.00","382,910.00"
2,27-Mar-23,Sales,ASK Automotive Pvt. Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

50 Dispatched through Destination

1 |Microsoft Modern Azure Consumption Charges 998319 18% 1no.| 23,684.16 | no. 23,684.16

2 |Managed Service 998319 18% 1 no. 9,000.00 | no. 9,000.00

5 |","38,567.31"
3,29-Mar-23,Sales,Balkrishna Industries Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

57 orn orang ore

1 |HP Pro Tower 280G9/CORE i5 12th 84715000 18% 10 no. 45,150.00 | no. 4,51,500.00

2 |HP Monitor 19.5 (SRD66AA) 85285200 18% 10 no.

3 |Win Pro 10 64 Bit OEM 85238020 18% 10 no. 9,850.00 no. 98,500.00

0 |__— 9% 8,865.00 9% 8,865.00 | _17,730.00 |

16 KM Valid Upto

00 HP Pro Tower

00 HP Monitor 19

20 Win Pro 10

64 Bit OEM 

00 Other Amt Total

00 SGST Amt 49","6,49,000.00"
4,8-Apr-23,Purchase,B.M.Infotrade Pvt. Ltd,Aadhar Electronics,"1 |Quick Heal Total 85238020 18 % 1 QTY 2,080.48 | QTY 2,080.48

CGST 187.24","2,455.00"
5,23-Jun-23,Purchase,for Binary Infosolutions Pvt Ltd,Binary Infosolutions Pvt Ltd,"1 |50UQ801C0OSB.ATR LED LCD TV 50(UHD) 85287219 |1-00 No [28,500.00 | No 28,500.00

CGST 4,025.00

0 | 449 4,025.00 | 14%","36,800.00"
6,25-Jul-23,Purchase, : YES BANK LTD,Divakar Computronix & Systems,"1 [BROTHER HL-L2351DW

0 | 10,169.49 |Nos. 10,169.49

CGST 915.25

HSN/SAC Taxable CGST SGST/UTGST Total","1,830.50"
7,29-Mar-23,Sales,CANARA BANK,B M Infotrade Private Limited ,"27 Delivery Note Mode

05 Dispatched through Destination

0 Terms of Delivery

1 |HP W1370A Toner Cartridge 84439959 18% 1 no. 3,119.00 | no. 3,119.00

2 |","3,680.42"
8,25-Mar-23,Sales,CASABLANCA INDUSTRIES PVT. LTD,B M Infotrade Private Limited ,"27 Delivery Note Mode

1 POWER BI PRO

0 | no. 7,310.00

0 |","8,626.00"
9,31-Mar-23,Sales,Coloured Rocks Trading Pvt Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

22 Godam Industrial Area

01 CiyiPort of Loading

22 Godam Industrial Area

1 |Adobe Photoshop for teams 1998434 18% 1no.| 29,400.00 | no. 29,400.00

27 Delivery Note Mode

22 Godam Industrial Area

22 Godam Industrial Area

0 |","34,692.00"
10,27-Mar-23,Sales,EASTMAN AUTO AND POWER LIMITED,"B M Infotrade Private Limited
","1 |Azure -Consumption Charges 998319 18% 1 nos. | 15,120.26 nos. 15,120.26","17,842.00"
11,30-Mar-23,Sales,Frontline Solutions,B M Infotrade Private Limited ,"27 Delivery Note Mode

08 Terms of Delivery

1 |Anit Virus Net Protector 85238020 18 % 2 no. 381.36] no. 762.72

2 IBROTHER LASAER PRINTER

6 | no. 8,813.56

4 |","11,300.00"
12,14-Mar-23,Sales,Gem India Exports,B M Infotrade Private Limited ,"27 Delivery Note Mode

1 )AMC Charges 998713 18% 13 nos. 1,375.00 | nos. 17,875.00

0 | __— 9% 1,608.75 9% 1,608.75 3,217.50 _|","21,092.50"
13,25-Mar-23,Sales,GLUHEND INDIA PRIVATE LIMITED,B M Infotrade Private Limited ,"27 Delivery Note Mode

07 Terms of Delivery

1 |Commvault Complete Backup & Recovery 997331 18% 50 no. 5,500.00 | no. 2,75,000.00

11 For 1 Year

27 Delivery Note Mode

07 Terms of Delivery

0 | _ 49,500.00","3,24,500.00"
14,21.01.2022,Purchase,For Rashi Peripherals Pvt. Ltd,R Indusind Bank Ltd,"9TN41A6#ACJ HP/CONSUMER MONITORS/ V19 18.5 VGA 85285200 1 7,100.00 7,100.00 7,100.00 |CGST |] 9.00 639.00

55G74PA#ACJ HP/DESKTOP/ CI3 10100 4GB 1TB 84715000 1 25,400.00 25,400.00 25,400.00 |CGST | 9.00 2,286.00","38,388.00"
15,23.12.2021,Purchase,For Rashi Peripherals Pvt. Ltd,R Indusind Bank Ltd,"0F31284 WESTERN DIGITAL/HARD DISK DRIVE/ 14TB 84717020 4 22,000.00 88,000.00 88,000.00 |CGST | 9.00 7,920.00","103,944.00"
16,17.01.2022,Purchase,For Rashi Peripherals Pvt. Ltd,R Indusind Bank Ltd,"WC930E LOGITECH/VC-WEB CAM/ C930E HD 85258090 2 8,065.00 16,130.00 16,130.00 |CGST | 9.00 1,451.70","19,052.00"
17,17.02.2022,Purchase,For Rashi Peripherals Pvt. Ltd,R Indusind Bank Ltd,"CS-5WS0Q81877 |LENOVO/CAREPACK SOSB/ WARRANTY 1Y 998713 4 2,299.00 9,196.00 9,196.00 |CGST | 9.00 827.64","10,851.00"
18,24.02.2022,Purchase,For Rashi Peripherals Pvt. Ltd,R Indusind Bank Ltd,"1H849A6#ACJ HP/CONSUMER MONITORS/ V20 19.5 VGA 85285200 5 7,400.00 37,000.00 37,000.00 |CGST |] 9.00 3,330.00","43,704.00"
19,02.03.2022,Purchase,For Rashi Peripherals Pvt. Ltd,R Indusind Bank Ltd,"WC922PRO LOGITECH/WEB CAM/ C922 PRO STREAM 85258900 12 6,561.00 78,732.00 78,732.00 |CGST | 9.00 7,085.88","92,997.00"
